7.4679 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1366, 768]. Using actual size
9.3655 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F79F709D30>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F79F709CD0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F79F709AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F79FC25CD0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.3657 	EXP 	window1: mouseVisible = True
9.3657 	EXP 	window1: backgroundImage = ''
9.3657 	EXP 	window1: backgroundFit = 'none'
9.3689 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.3690 	EXP 	window1: recordFrameIntervals = False
9.5316 	EXP 	window1: recordFrameIntervals = True
9.7151 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
9.7151 	EXP 	window1: recordFrameIntervals = False
9.7152 	EXP 	window1: mouseVisible = False
12.7543 	EXP 	glasgow_face_matching: status = STARTED
12.7546 	EXP 	window1: mouseVisible = True
12.8685 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='height', win=Window(...))
12.8694 	EXP 	window1: mouseVisible = True
12.8696 	EXP 	window1: mouseVisible = True
12.8702 	EXP 	window1: mouseVisible = True
12.8707 	EXP 	window1: mouseVisible = True
12.9796 	EXP 	window1: mouseVisible = True
12.9797 	EXP 	window1: mouseVisible = True
12.9802 	EXP 	window1: mouseVisible = True
12.9807 	EXP 	window1: mouseVisible = True
13.0001 	EXP 	window1: mouseVisible = True
13.1055 	EXP 	Created background_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='height', win=Window(...))
13.1056 	EXP 	window1: mouseVisible = True
13.1240 	EXP 	Created faces = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='faces', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.1, 0.8]), texRes=128, units='height', win=Window(...))
13.1243 	EXP 	window1: mouseVisible = True
13.1244 	EXP 	window1: mouseVisible = True
13.1250 	EXP 	window1: mouseVisible = True
13.1255 	EXP 	window1: mouseVisible = True
13.1396 	EXP 	window1: mouseVisible = True
13.1398 	EXP 	window1: mouseVisible = True
13.1403 	EXP 	window1: mouseVisible = True
13.1407 	EXP 	window1: mouseVisible = True
13.1545 	EXP 	window1: mouseVisible = True
13.1546 	EXP 	window1: mouseVisible = True
13.1552 	EXP 	window1: mouseVisible = True
13.1556 	EXP 	window1: mouseVisible = True
13.1919 	EXP 	window1: mouseVisible = True
13.1921 	EXP 	window1: mouseVisible = True
13.1926 	EXP 	window1: mouseVisible = True
13.1931 	EXP 	window1: mouseVisible = True
13.2068 	EXP 	window1: mouseVisible = True
13.3117 	EXP 	Created background_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='height', win=Window(...))
13.3120 	EXP 	window1: mouseVisible = True
13.3121 	EXP 	window1: mouseVisible = True
13.3126 	EXP 	window1: mouseVisible = True
13.3131 	EXP 	window1: mouseVisible = True
13.3273 	EXP 	window1: mouseVisible = True
13.3275 	EXP 	window1: mouseVisible = True
13.3280 	EXP 	window1: mouseVisible = True
13.3284 	EXP 	window1: mouseVisible = True
13.3425 	EXP 	window1: mouseVisible = True
13.3426 	EXP 	window1: mouseVisible = True
13.3431 	EXP 	window1: mouseVisible = True
13.3436 	EXP 	window1: mouseVisible = True
13.3580 	EXP 	window1: mouseVisible = True
13.3581 	EXP 	window1: mouseVisible = True
13.3586 	EXP 	window1: mouseVisible = True
13.3590 	EXP 	window1: mouseVisible = True
13.3724 	EXP 	window1: mouseVisible = True
13.3726 	EXP 	window1: mouseVisible = True
13.3731 	EXP 	window1: mouseVisible = True
13.3736 	EXP 	window1: mouseVisible = True
13.3871 	EXP 	window1: mouseVisible = True
13.3872 	EXP 	window1: mouseVisible = True
13.3877 	EXP 	window1: mouseVisible = True
13.3882 	EXP 	window1: mouseVisible = True
13.4017 	EXP 	window1: mouseVisible = True
